country_name,avg_aqi_value,longitude,latitude
Haiti,101.7222222,-72.3570972,19.1399952
Honduras,63.42857143,-86.0755145,15.2572432
Hungary,63.6056338,19.5060937,47.1817585
Iceland,23,-18.1059013,64.9841821
India,152.9642283,78.6677428,22.3511148
Indonesia,93.03693931,117.8902853,-2.4833826
Iran ,108.2960894,54.5643516,32.6475314
Iraq,114.0714286,44.1749775,33.0955793
Ireland,40.22580645,-7.9794599,52.865196
Israel,87.82608696,34.8594762,30.8124247
Italy,62.0040858,12.674297,42.6384261
Jamaica,90.66666667,-77.3947693,18.1850507
Japan,51.72364672,139.2394179,36.5748441
Jordan,96.83333333,122.5909592,10.6611675
Kazakhstan,61.21126761,66.7780818,48.1012954
Kenya,74.16666667,38.4313975,1.4419683
eSwatini,119.3333333,31.3991317,-26.5624806
Kuwait,162,47.9734174,29.3796532
Kyrgyzstan,81.53846154,74.724091,41.5089324
Laos,43.5,103.378253,20.0171109
Latvia,39.90909091,24.7537645,56.8406494
Lebanon,72,-76.4626118,40.375713
Lesotho,89.6,28.3350193,-29.6039267
Liberia,38,-9.3658524,5.7499721
Libya,105.4,18.1236723,26.8234472
Lithuania,38.13157895,23.7499997,55.3500003
Luxembourg,44.5,6.129799,49.6112768
Madagascar,30.95384615,46.4416422,-18.9249604
Malawi,47.33333333,33.9301963,-13.2687204
Malaysia,81.616,102.2656823,4.5693754
Maldives,19,73.2244152,3.7203503
Mali,83.16,-2.2900239,16.3700359
Malta,51.36363636,14.4476911,35.8885993
Mauritania,179,-9.2399263,20.2540382
Mauritius,41,57.5703566,-20.2759451
Mexico,89.61669506,-99.1331785,19.4326296
Monaco,56,7.4276832,43.7323492
Mongolia,53.4,-79.2235563,43.9382593
Montenegro,64.75,-51.4687455,-29.6826112
Morocco,45.36842105,-10.37133791,28.3347722
Mozambique,36.82608696,34.9144977,-19.302233
Myanmar,40.16949153,95.9999652,17.1750495
Namibia,76.88235294,17.3231107,-23.2335499
Nepal,116.3636364,83.9999901,28.3780464
Netherlands,38.13758389,5.6343227,52.2434979
New Zealand,30.72727273,172.8344077,-41.5000831
Nicaragua,47.97297297,-85.2936911,12.6090157
Niger,75.68965517,9.3238432,17.7356214
Nigeria,99.61111111,7.9999721,9.6000359
Norway,35.47619048,11.52803644,64.5731537
Oman,137.5,57.0036901,21.0000287
Pakistan,178.7882736,71.247499,30.3308401
Palau,16,9.3820424,41.1810758
Panama,68.44444444,-81.1308434,8.559559
Papua New Guinea,24.86666667,144.2489081,-5.6816069
Paraguay,42.76923077,-58.1693445,-23.3165935
Peru,36.4296875,-75.0458515,-6.8699697
Philippines,61.1958457,122.7312101,12.7503486
Poland,52.46015424,19.134422,52.215933
Portugal,34.60784314,-8.1353519,39.6621648
Qatar,157.5,51.2295295,25.3336984
South Korea,421,127.6961188,36.638392
Republic of Moldova,52.96428571,28.5670941,47.2879608
Republic of North Macedonia,66.7826087,21.7168387,41.6171214
Romania,53.93364929,24.6859225,45.9852129
Russia ,42.50684932,97.7453061,64.6863136
Rwanda,93.53846154,30.0644358,-1.9646631
Saint Kitts and Nevis,90,-62.6725973,17.250512
Saint Lucia,79,-60.975036,13.8250489
Saudi Arabia,149.2857143,42.3528328,25.6242618
Senegal,152.4242424,-14.4529612,14.4750607
Serbia,67.98876404,21.07657433,44.02432285
